period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q2_2025,2025-07-23,2025-07-24,0.0053,0.0028,0.0186,0.0146,-0.0014,-0.0014,0.0149,0.0165,0.0226,0.0151,0.0724,0.0601
Q3_2025,2025-10-29,2025-10-30,-0.001,-0.0059,-0.014,-0.0031,0.0116,0.0346,0.0306,0.0351,-0.0103,0.0179,0.1187,0.1329
Q4_2024,2025-02-04,2025-02-05,0.0014,-0.0038,-0.0254,-0.03,-0.0403,-0.0431,-0.0319,-0.0533,-0.0354,-0.0551,-0.0913,-0.0248
Q4_2025,2026-02-04,2026-02-05,-0.0253,-0.0465,-0.0382,-0.0624,-0.0672,-0.0732,-0.0882,-0.0954,-0.0491,-0.0688,-0.0745,-0.0925
