period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q1_2026,2026-04-23,2026-04-23,0.0241,0.005,0.0185,0.0091,-0.0717,-0.0967,-0.0739,-0.1069,-0.0642,-0.131,-0.0742,-0.1757
Q3_2024,2024-10-30,2024-10-31,-0.0007,-0.0081,0.0085,-0.0087,0.0425,-0.0189,0.0275,-0.0345,0.0169,-0.0345,0.0445,-0.0205
Q3_2025,2025-10-29,2025-10-30,-0.0272,-0.032,-0.0587,-0.0479,-0.0713,-0.0483,-0.0521,-0.0476,-0.0849,-0.0567,-0.0384,-0.0242
Q4_2024,2025-01-29,2025-01-30,0.0032,0.0046,0.025,0.0223,0.0364,0.0239,0.0443,0.0324,0.0605,0.0359,-0.0465,0.0032
Q4_2025,2026-01-28,2026-01-29,-0.0295,-0.0175,-0.0631,-0.0426,-0.0922,-0.0408,-0.0827,-0.0587,-0.1199,-0.0741,-0.1148,-0.0809
