ticker,company_name,quarter,currency,revenue,cogs_cost_of_revenue,gross_profit,operating_expenses,operating_income,pretax_income,income_tax_expense,net_income,eps_basic,eps_diluted,consensus_eps_actual,consensus_eps_estimate,consensus_eps_surprise_pct,consensus_revenue_actual,consensus_revenue_estimate,consensus_revenue_surprise_pct,cash_and_equivalents,total_assets,total_liabilities,shareholders_equity,total_debt,operating_cash_flow,capital_expenditures,free_cash_flow,dividends_paid,share_repurchases,gross_margin,operating_margin,net_margin,free_cash_flow_margin,ebitda,revenue_qoq_growth,data_source,sec_filing_date,sec_filing_form,expected_vs_actual_source,expected_vs_actual_note,has_derived_q4_values,guidance_source,guidance_text,guidance_issued_date,guidance_target_period,guidance_revenue_low,guidance_revenue_high,guidance_revenue_mid,guidance_revenue_consensus,guidance_revenue_surprise_pct,guidance_eps_low,guidance_eps_high,guidance_eps_mid,guidance_eps_consensus,guidance_eps_surprise_pct,guidance_leakage_safe,guidance_excluded_reason,guidance_report_date,guidance_revenue_mid_vs_reported_pct,guidance_eps_mid_vs_actual_pct,guidance_cutoff_rule
JPM,JPMORGAN CHASE & CO,CY2025Q1,USD,45310000000,,,23597000000,,18408000000,3765000000,14643000000,5.08,5.07,,,,,,,425903000000,4357856000000,4006436000000,351420000000,,-251839000000,,,3823000000,7528000000,,,0.32317369234164645,,,,SEC companyfacts,2026-05-01,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
JPM,JPMORGAN CHASE & CO,CY2025Q2,USD,44912000000,,,23779000000,,18284000000,3297000000,14987000000,5.25,5.24,,,,,,,420327000000,4552482000000,4195558000000,356924000000,,,,,,,,,0.33369700748129677,,,-0.008783932906643125,SEC companyfacts,2025-08-05,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
JPM,JPMORGAN CHASE & CO,CY2025Q3,USD,46427000000,,,24281000000,,18743000000,4350000000,14393000000,5.08,5.07,,,,,,,303436000000,4560205000000,4199993000000,360212000000,,-45214000000,,,4180000000,8293000000,,,0.31001356969005106,,,0.0337326327039544,SEC companyfacts,2025-11-04,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
JPM,JPMORGAN CHASE & CO,CY2025Q4,USD,45798000000,,,23983000000,,17160000000,4135000000,12977000000,,,,,,,,,343338000000,4424900000000,4062462000000,362438000000,,119724000000,,,4417000000,8264000000,,,0.28335298484649984,,,-0.013548150860490663,SEC companyfacts,2026-02-13,10-K,,,true,,,,,,,,,,,,,,,,,,,,
JPM,JPMORGAN CHASE & CO,CY2026Q1,USD,49836000000,,,26850000000,,20479000000,3985000000,16494000000,5.95,5.94,,,,,,,312142000000,4900475000000,4536437000000,364038000000,,-211761000000,,,4374000000,8325000000,,,0.33096556705995667,,,0.08816978907375868,SEC companyfacts,2026-05-01,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
V,VISA INC.,CY2025Q1,USD,9594000000,,,4159000000,5435000000,5438000000,861000000,4577000000,,,,,,,,,11734000000,92853000000,54823000000,38030000000,20762000000,,,,1164000000,,,0.5664998957681885,0.47706900145924536,,,,SEC companyfacts,2026-04-29,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
V,VISA INC.,CY2025Q2,USD,10172000000,,,3995000000,6177000000,6333000000,1061000000,5272000000,,,,,,,,,17092000000,100024000000,61360000000,38664000000,25138000000,6730000000,421000000,6309000000,1154000000,4782000000,,0.6072552103814393,0.5182854895792371,0.6202320094376721,,0.060245987075255365,SEC companyfacts,2025-07-30,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
V,VISA INC.,CY2025Q3,USD,10724000000,,,4576000000,6148000000,6223000000,1133000000,5090000000,,,,,,,,,17164000000,99627000000,61718000000,37909000000,25171000000,6238000000,389000000,5849000000,1146000000,4927000000,,0.5732935471838866,0.4746363297277135,0.5454121596419247,,0.05426661423515533,SEC companyfacts,2025-11-06,10-K,,,true,,,,,,,,,,,,,,,,,,,,
V,VISA INC.,CY2025Q4,USD,10901000000,,,4164000000,6737000000,6726000000,873000000,5853000000,,,,,,,,,14756000000,96814000000,58037000000,38777000000,21177000000,6780000000,378000000,6402000000,1293000000,3725000000,,0.6180166957159894,0.5369232180533896,0.5872855701311807,,0.01650503543453935,SEC companyfacts,2026-01-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
V,VISA INC.,CY2026Q1,USD,11230000000,,,3996000000,7234000000,7174000000,1153000000,6021000000,,,,,,,,,12404000000,95049000000,59388000000,35661000000,23976000000,,,,1286000000,,,0.6441674087266251,0.536153161175423,,,0.030180717365379323,SEC companyfacts,2026-04-29,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
SQ,"Block, Inc.",CY2025Q1,USD,5771796000,3482193000,2289603000,1960301000,329302000,227050000,38328000,189872000,0.31,0.3,,,,,,,7088831000,36395567000,14960493000,21469194000,5108385000,133336000,31882000,101454000,,445298000,0.39668813658694796,0.05705364500062026,0.0328965195582103,0.017577544320693247,418250000,,SEC companyfacts,2026-05-07,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
SQ,"Block, Inc.",CY2025Q2,USD,6054457000,3517927000,2536530000,2052237000,484293000,659382000,121048000,538458000,0.88,0.87,,,,,,,6384224000,36858391000,14735499000,22157136000,5110866000,,,,,,0.41895251712911663,0.07998950194872967,0.08893580382187866,,,0.0489727980684002,SEC companyfacts,2025-08-07,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
SQ,"Block, Inc.",CY2025Q3,USD,6114952000,3453382000,2661570000,2252130000,409440000,601526000,139928000,461544000,0.76,0.74,,,,,,,8335934000,39182823000,16709615000,22507398000,7285500000,1451056000,50646000,1400410000,,403027000,0.4352560739642764,0.06695718952495457,0.07547794324468941,0.22901406257972262,501559000,0.009991812643148676,SEC companyfacts,2025-11-06,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
SQ,"Block, Inc.",CY2025Q4,USD,6252478000,3380252000,2872226000,2386855000,485371000,201953000,86397000,115762000,,,,,,,,,6564092000,39549887000,17380005000,22204278000,7289018000,621000000,41200000,579800000,,790132000,0.45937402738562216,0.07762858181988005,0.01851457933958344,0.09273123392037524,581436000,0.022490119301018227,SEC companyfacts,2026-02-26,10-K,,,true,,,,,,,,,,,,,,,,,,,,
SQ,"Block, Inc.",CY2026Q1,USD,6056847000,3147608000,2909239000,3081229000,-171990000,-392577000,-83982000,-308681000,-0.52,-0.52,,,,,,,6858357000,39986081000,18305053000,21715338000,7292520000,965595000,30574000,935021000,,635988000,0.4803223525375497,-0.028395962453732115,-0.050963975150767386,0.15437421483488026,-76013000,-0.03128855471382706,SEC companyfacts,2026-05-07,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
