ticker,n_events,horizon_days,rho_avg_sentiment_vs_excess_return,indicative_only
AAPL,5,1,-0.08746484451504687,True
AAPL,5,3,-0.40372176988053393,True
AAPL,5,5,-0.7739507849239999,True
AAPL,5,7,-0.769695054824427,True
AAPL,5,10,-0.8947896790909207,True
AAPL,5,21,-0.8252910218615053,True
AMZN,5,1,0.5479893129432236,True
AMZN,5,3,0.271313170103204,True
AMZN,5,5,0.42552550678086937,True
AMZN,5,7,0.7068921977829036,True
AMZN,5,10,0.2840763839648544,True
AMZN,5,21,-0.2977194514811806,True
GOOGL,4,1,0.9601121110813715,True
GOOGL,4,3,0.9759153080088808,True
GOOGL,4,5,0.8466811048463148,True
GOOGL,4,7,0.9135944440131112,True
GOOGL,4,10,0.8677470753273365,True
GOOGL,4,21,0.8573178207792985,True
META,5,1,0.23019563068403465,True
META,5,3,0.24107557936432347,True
META,5,5,0.8169318092202834,True
META,5,7,0.6932184092592538,True
META,5,10,0.7151748514853816,True
META,5,21,0.6341733334353132,True
MSFT,5,1,0.43582424644700535,True
MSFT,5,3,0.4941328011571626,True
MSFT,5,5,0.3453768607806143,True
MSFT,5,7,0.1035961977690219,True
MSFT,5,10,-0.8034051681007675,True
MSFT,5,21,0.039921492683270186,True
NVDA,7,1,-0.08163443345096179,False
NVDA,7,3,0.04677800336279728,False
NVDA,7,5,0.16572513120074536,False
NVDA,7,7,0.3041010914002929,False
NVDA,7,10,0.39489851046629837,False
NVDA,7,21,0.04729321755140257,False
TSLA,6,1,-0.09153106243595112,False
TSLA,6,3,0.1432382254806448,False
TSLA,6,5,0.304979760217474,False
TSLA,6,7,0.3656642157856442,False
TSLA,6,10,0.612237960569377,False
TSLA,6,21,0.5550608747303846,False
