period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q1_2025,2025-01-30,2025-01-31,-0.0339,-0.0259,-0.015,-0.0237,-0.0355,-0.0367,-0.0132,-0.0242,0.0376,0.0072,0.0008,0.052
Q1_2026,2026-01-29,2026-01-30,0.0406,0.0337,0.0656,0.0915,0.0718,0.0915,0.0557,0.0724,-0.0133,0.0187,0.0174,0.05
Q3_2025,2025-07-31,2025-08-01,0.0048,-0.0137,0.0537,0.0294,0.1333,0.0959,0.136,0.0888,0.1456,0.1033,0.1364,0.1152
Q4_2024,2024-10-31,2024-11-01,-0.004,-0.0011,-0.0009,-0.0381,0.0193,-0.0355,0.007,-0.0452,0.0105,-0.0083,0.0898,0.0294
Q4_2025,2025-10-30,2025-10-31,-0.0049,-0.0097,-0.0009,0.0084,-0.007,0.0237,0.019,0.031,0.0085,0.0406,0.0595,0.0708
