period,AI and Machine Learning in Products,Apple Intelligence,Capital Allocation,Emerging Market Performance,Guidance / Outlook,Mac Performance,Macro / Demand,Margins / Profitability,Other,Regulation / Geopolitics,Services Growth,Supply Chain and Manufacturing,iPad Innovations,iPhone Lineup
Q1_2025,1,6,0,4,2,4,2,7,1,1,4,2,2,9
Q1_2026,2,9,1,4,2,2,2,5,1,0,4,5,0,12
Q3_2025,5,5,2,1,3,0,4,0,1,4,4,2,1,9
Q4_2024,2,15,2,2,4,0,1,3,2,3,4,0,0,6
Q4_2025,3,5,2,1,4,2,1,3,2,2,7,4,0,16
