period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q1_2025,2024-10-30,2024-10-31,0.0099,0.0025,0.0126,-0.0047,0.047,-0.0144,0.0287,-0.0333,0.0505,-0.0008,0.0627,-0.0022
Q1_2026,2025-10-29,2025-10-30,-0.0151,-0.0199,-0.0217,-0.0109,-0.0545,-0.0315,-0.0376,-0.0331,-0.0427,-0.0145,-0.0725,-0.0583
Q2_2025,2025-01-29,2025-01-30,0.0002,0.0016,-0.0063,-0.009,0.002,-0.0105,-0.0067,-0.0185,-0.0107,-0.0353,-0.062,-0.0123
Q2_2026,2026-01-28,2026-01-29,-0.0074,0.0046,-0.0514,-0.0309,-0.0919,-0.0404,-0.0459,-0.0219,-0.073,-0.0273,-0.0785,-0.0446
Q4_2025,2025-07-30,2025-07-31,-0.0176,0.0021,-0.0108,-0.0024,-0.0237,-0.0312,-0.022,-0.0359,-0.0207,-0.047,-0.0487,-0.0582
