period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q1_2024,2024-04-23,2024-04-24,0.0497,0.0545,0.1969,0.1822,0.1102,0.1219,0.1176,0.0965,0.0777,0.0459,0.0716,0.008
Q2_2025,2025-07-23,2025-07-24,0.0352,0.0328,0.0521,0.0481,0.0097,0.0097,0.013,0.0146,0.0556,0.0481,0.1137,0.1014
Q3_2024,2024-10-23,2024-10-24,0.0334,0.0273,-0.0037,-0.0196,-0.0408,-0.0236,-0.0677,-0.0549,0.1399,0.0968,0.3535,0.3261
Q3_2025,2025-10-22,2025-10-23,-0.034,-0.0447,0.0258,-0.0108,-0.0198,-0.0451,0.0432,0.008,-0.0068,-0.0086,-0.1289,-0.0953
Q4_2024,2025-01-29,2025-01-30,0.0108,0.0122,-0.0202,-0.0229,-0.0649,-0.0774,-0.1238,-0.1356,-0.1108,-0.1353,-0.2889,-0.2392
Q4_2025,2026-01-28,2026-01-29,0.0332,0.0453,0.013,0.0335,-0.0465,0.005,0.0018,0.0258,0.0012,0.047,-0.0318,0.0021
