period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q1_2026,2025-05-28,2025-05-29,-0.0292,-0.0093,0.0146,-0.0071,0.0057,-0.0268,0.0247,-0.0392,0.0418,-0.0432,0.1351,-0.009
Q2_2025,2024-08-28,2024-08-29,0.0151,-0.011,-0.0968,-0.0477,-0.1255,-0.0309,-0.0807,-0.0137,0.0129,0.0236,0.0328,0.0066
Q2_2026,2025-08-27,2025-08-28,-0.0332,-0.0046,-0.053,-0.01,-0.073,-0.0512,-0.0522,-0.0384,-0.013,-0.0252,0.0094,-0.0577
Q3_2025,2024-11-20,2024-11-21,-0.0322,-0.0326,-0.0665,-0.0636,-0.0574,-0.0543,-0.0437,-0.061,-0.0288,-0.0461,-0.0477,-0.0735
Q3_2026,2025-11-19,2025-11-20,-0.0097,-0.0199,-0.0156,-0.0734,-0.0202,-0.127,0.0045,-0.125,0.0099,-0.1442,0.0169,-0.118
Q4_2025,2025-02-26,2025-02-27,0.0397,0.0238,-0.0346,-0.0201,-0.0797,-0.0446,-0.1096,-0.0568,-0.0379,0.0115,-0.0871,-0.0076
Q4_2026,2026-02-25,2026-02-26,-0.0416,-0.029,-0.0262,0.0355,-0.0084,0.045,-0.0121,0.0451,-0.0094,0.0652,-0.0939,-0.0011
