period,earnings_call_date,event_price_date,return_1d,excess_return_1d,return_3d,excess_return_3d,return_5d,excess_return_5d,return_7d,excess_return_7d,return_10d,excess_return_10d,return_21d,excess_return_21d
Q1_2024,2024-04-30,2024-05-01,0.032,0.0192,0.0542,0.0098,0.0503,0.0063,0.0474,-0.0014,0.0391,-0.0354,-0.0143,-0.0836
Q2_2024,2024-08-01,2024-08-02,-0.041,-0.0112,-0.0306,0.0006,-0.0057,-0.0094,0.0139,-0.0169,0.0546,-0.004,0.0497,0.0206
Q3_2025,2025-10-30,2025-10-31,0.04,0.0353,0.0245,0.0337,0.0008,0.0315,0.02,0.0319,-0.039,-0.0069,-0.0401,-0.0289
Q4_2024,2025-02-06,2025-02-07,0.0174,0.0053,-0.001,-0.0112,-0.0021,-0.0312,-0.011,-0.0427,-0.0717,-0.0659,-0.1421,-0.0439
Q4_2025,2026-02-05,2026-02-06,-0.0076,-0.0153,-0.0297,-0.0353,-0.0548,-0.0421,-0.0263,-0.02,-0.024,-0.0105,0.0191,0.0221
